ASMID,SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_051941765.1_KEW_Vafu,Variospora fuerteventurae,LIQ242VAFU,PRJNA991097,3058865,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Variospora,Variospora fuerteventurae,F7553B67
GCA_051942325.1_KEW_Vasp1,Variospora sp. 1 TL-2023,LIQ251GYDE,PRJNA991097,3058882,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Variospora,Variospora sp. 1 TL-2023,F055DFC2
GCA_051941705.1_KEW_Vave,Variospora velana,LIQ163CAVE,PRJNA991097,1301595,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Variospora,Variospora velana,FC0F968A
GCF_000192795.1_Vavr_culi_floridensis_V1,Vavraia culicis subsp. floridensis,floridensis,PRJNA62117,948595,fungi,Microsporidia,,,,,Pleistophoridae,Vavraia,Vavraia culicis,F287442D
GCA_038088635.1_VeloBol-ISO,Veloboletus limbatus,NY1393645,PRJNA1022813,2800115,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Veloboletus,Veloboletus limbatus,F27E35DB
GCA_038089715.1_NY796126-Veloporphyrellus-conicus,Veloporphyrellus conicus,NY796126,PRJNA1022813,1382505,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Veloporphyrellus,Veloporphyrellus conicus,F529321E
GCA_003689335.1_ASM368933v1,Venturia asperata,2349,PRJNA407103,86256,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia asperata,F89418D5
GCA_003693225.1_ASM369322v1,Venturia aucupariae,2371,PRJNA407103,470485,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia aucupariae,F80513D5
GCA_014858625.1_ASM1485862v1,Venturia carpophila,ZJHZ1-1-1,PRJNA642010,86257,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia carpophila,FE2B5683
GCA_007735645.1_ASM773564v1,Venturia effusa,albino,PRJNA551043,50376,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia effusa,F17E6A32
GCA_003689225.1_ASM368922v1,Venturia inaequalis,EU-B04,PRJNA407103,5025,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia inaequalis,F078427D
GCA_004522665.1_ASM452266v1,Venturia nashicola,MAFF615029,PRJNA527174,86259,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia nashicola,F1A69A01
GCA_013176395.1_ASM1317639v1,Venturia oleaginea,Yun35,PRJNA595014,1898124,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia oleaginea,FF6E85A6
GCA_003690945.1_ASM369094v1,Venturia pyrina,VP151,PRJNA407103,415593,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia pyrina,F656E47F
GCA_000738655.1_ASM73865v1,Venturia pyrina ICMP 11032,ICMP 11032,PRJNA232087,1437871,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia pyrina,F7AD0CD4
GCA_023078705.1_ASM2307870v1,Venturiaceae sp. KMAF11,KMAF11,PRJNA819870,2929574,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,,Venturiaceae sp. KMAF11,FFA41330
GCF_003357145.1_ASM335714v1,Venustampulla echinocandica,BP 5553,PRJNA388220,2656787,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Pleuroascaceae,Venustampulla,Venustampulla echinocandica,F1356FE3
GCA_033675295.1_ASM3367529v1,Vermiconidia calcicola,CCFEE 5714,PRJNA666634,1690605,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Extremaceae,Vermiconidia,Vermiconidia calcicola,FC4DEF55
GCA_033030345.1_ASM3303034v1,Verpa bohemica,No. 21108,PRJNA982188,44609,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Verpa,Verpa bohemica,F9D12942
GCA_033030425.1_ASM3303042v1,Verpa conica,No. 21110,PRJNA982188,44608,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Verpa,Verpa conica,F4B6555B
GCA_964256245.1_public_SRR14722176_concoct_bin.30,Verrucariales sp.,,PRJEB77567,1955123,dikarya,Ascomycota,,Eurotiomycetes,,Verrucariales,,,Verrucariales sp.,F7200082
GCF_000836295.1_O_gall_CBS43764,Verruconis gallopava,CBS 43764,PRJNA167910;PRJNA175043;PRJNA325802,253628,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Sympoventuriaceae,Verruconis,Verruconis gallopava,F4E48CF3
GCA_004026245.1_ASM402624v1,Verruconis sp.,S2_005_001R2b,PRJNA471744,2011826,dikarya,Ascomycota,,Dothideomycetes,,Venturiales,Sympoventuriaceae,Verruconis,Verruconis sp.,FEB40F92
GCA_049907295.1_ASM4990729v1,Verticillium albo-atrum,DSM 12231,PRJNA1215036,27335,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium albo-atrum,FC5343DF
GCA_002851655.1_ASM285165v1,Verticillium alfalfae,PD683,PRJNA392396,1051613,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium alfalfae,F68DB035
GCF_000150825.1_ASM15082v1,Verticillium alfalfae VaMs.102,VaMs.102,PRJNA29511,526221,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium alfalfae,F83CC4D5
GCA_002370995.1_ASM237099v1,Verticillium dahliae,Vd991,PRJNA302216,27337,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae,FC3CA12A
GCA_000400815.2_VDAG_JR2v.4.0,Verticillium dahliae JR2,JR2,PRJNA175765,1202531,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae,F1CE2712
GCA_011066465.2_VDG1_1.0,Verticillium dahliae VDG1,VDG1,PRJNA66029,1027910,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae,FA91DCCD
GCA_011066485.2_VDG2_1.0,Verticillium dahliae VDG2,VDG2,PRJNA66031,1007914,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae,FFED0BFC
GCF_000150675.1_ASM15067v2,Verticillium dahliae VdLs.17,VdLs.17,PRJNA28529,498257,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae,FC3BFB7A
GCA_002851775.1_ASM285177v1,Verticillium isaacii,PD618,PRJNA392396,1051614,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium isaacii,F074AE29
GCA_002851715.1_ASM285171v1,Verticillium klebahnii,PD401,PRJNA392396,1051615,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium klebahnii,FC8C8AE8
GCA_019188255.1_ASM1918825v1,Verticillium longisporum,PD589,PRJNA473305,100787,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium longisporum,F89F0A55
GCF_003724135.2_ASM372413v2,Verticillium nonalfalfae,VnAa140-NRRL 66861,PRJNA493511,1051616,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium nonalfalfae,FA305B5F
GCA_050230855.1_ASM5023085v1,Verticillium nubilum,397,PRJNA1253319,132580,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium nubilum,FC891FD9
GCA_002851695.1_ASM285169v1,Verticillium tricorpus,PD593,PRJNA392396,29847,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium tricorpus,FA33F7C2
GCA_000732205.1_ASM73220v1,Verticillium tricorpus MUCL 9792,MUCL 9792,PRJNA229139,1425883,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium tricorpus,F9DC40C7
GCA_054999315.1_ASM5499931v1,Verticillium zaregamsianum,IPP1199,PRJNA1375490,1051617,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium zaregamsianum,F5209D5D
GCA_026025075.1_ASM2602507v1,Vezdaea acicularis,Spribille s.n. 12.09.2020-TS-e1946,PRJNA833438,2939408,dikarya,Ascomycota,,,,Vezdaeales,Vezdaeaceae,Vezdaea,Vezdaea acicularis,F828346D
GCA_026055935.1_ASM2605593v1,Vezdaea aestivalis,Spribille 44784-TS-e1932,PRJNA833438,2939405,dikarya,Ascomycota,,,,Vezdaeales,Vezdaeaceae,Vezdaea,Vezdaea aestivalis,F2379A85
GCA_051941605.1_KEW_Tami,Villophora microphyllina,LIQ184CAMI,PRJNA991097,2797858,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Villophora,Villophora microphyllina,F87CE563
GCA_003144235.1_Ustsp1,Violaceomyces palustris,SA 807,PRJNA254893,1673888,dikarya,Basidiomycota,,Ustilaginomycetes,,Violaceomycetales,Violaceomycetaceae,Violaceomyces,Violaceomyces palustris,FBF1FC94
GCA_010094025.1_Tryvi1,Viridothelium virens,Tuck. ex Michener,PRJNA519654,1048519,dikarya,Ascomycota,,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Viridothelium,Viridothelium virens,F72FCD7A
GCA_052935135.1_ASM5293513v1,Vishniacozyma dimennae,blapla,PRJNA1327360,89920,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma dimennae,FFD10D4D
GCA_017654735.1_ASM1765473v1,Vishniacozyma victoriae,T18_1_22C,PRJNA674641,1895944,dikarya,Basidiomycota,,Tremellomycetes,,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma victoriae,FD874E4D
GCF_000231115.1_Vitt_corn_V1,Vittaforma corneae ATCC 50505,ATCC 50505,PRJNA63501,993615,fungi,Microsporidia,,,,,Nosematidae,Vittaforma,Vittaforma corneae,F53B2856
GCA_034401135.1_ASM3440113v1,Volutella citrinella,GUCC2219,PRJNA1040346,1053262,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Volutella,Volutella citrinella,F7CBFF16
GCA_951802395.1_gfVolSurr1.1,Volvariella surrecta,,PRJEB40665;PRJEB43510;PRJEB43745;PRJEB60206;PRJEB62659;PRJNA533106,908347,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Pluteaceae,Volvariella,Volvariella surrecta,F17F7BED
GCA_000355865.1_Vvcontig,Volvariella volvacea PYd21,PYd21,PRJNA171553,1216071,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Pluteaceae,Volvariella,Volvariella volvacea,FC8DA061
GCA_000349905.1_VVO,Volvariella volvacea V23,V23,PRJNA175251,706473,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Pluteaceae,Volvariella,Volvariella volvacea,FBE1BCB5
GCA_001691835.3_ASM169183v3,Volvariella volvacea WC 439,WC 439,PRJNA236756,1457512,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Pluteaceae,Volvariella,Volvariella volvacea,F28DD90F
GCA_964255425.1_private_VT2_concoct_bin.17,Vulpicida juniperinus,,PRJEB77567,87264,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Vulpicida,Vulpicida juniperinus,FAEA978C
GCA_037855215.1_ASM3785521v1,Waitea zeae,S2346,PRJNA1073027,49569,dikarya,Basidiomycota,,Agaricomycetes,,Corticiales,Corticiaceae,Waitea,Waitea zeae,F11210C8
GCA_038090475.1_NY1193852-Wakefieldia-striaesporta,Wakefieldia striispora,NY1193852,PRJNA1022813,3095618,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Hymenogastraceae,Wakefieldia,Wakefieldia striispora,FF41F9C0
GCA_056320075.1_ASM5632007v1,Wallemia canadensis,EXF-10342,PRJNA1145172,1708542,dikarya,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia canadensis,FC78E7FE
GCA_004918325.1_ASM491832v1,Wallemia hederae,EXF-5753,PRJNA527765,1540922,dikarya,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia hederae,F074569F
GCA_004917845.1_ASM491784v1,Wallemia ichthyophaga,EXF-8760,PRJNA527765,245174,dikarya,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia ichthyophaga,FE0080CC
GCF_000400465.1_Wallemia_ichthyophaga_version_1.0,Wallemia ichthyophaga EXF-994,EXF-994,PRJNA193177,1299270,dikarya,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia ichthyophaga,F81EB377
GCA_004917925.1_ASM491792v1,Wallemia mellicola,EXF-483,PRJNA527769,1708541,dikarya,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia mellicola,FF4E42C2
GCF_000263375.1_Wallemia_sebi_v1.0,Wallemia mellicola CBS 633.66,CBS 633.66,PRJNA64975,671144,dikarya,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia mellicola,F50A781B
GCA_022814615.1_ASM2281461v1,Waltergamsia citrina,FKII-L8-BK-P5,PRJNA800051,1472694,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Waltergamsia,Waltergamsia citrina,F6A92066
GCA_026025055.1_ASM2602505v1,Watsoniomyces obsoletus,Powell 4724-TS-e1886,PRJNA833438,2796175,dikarya,Ascomycota,,Lichinomycetes,,Lichinales,Porocyphaceae,Watsoniomyces,Watsoniomyces obsoletus,F5D8B8B3
GCA_030412805.1_NNIBR_Waur_1.0,Westerdykella aurantiaca,NNIBRFG27121,PRJNA973833,1193015,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella aurantiaca,FF482160
GCA_040333465.2_ASM4033346v2,Westerdykella dispersa,F012,PRJNA1116794,45154,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella dispersa,F7FEC974
GCF_010094085.1_Wesor1,Westerdykella ornata,CBS 379.55,PRJNA245619,318751,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella ornata,F8F22A7D
GCA_019022765.1_UFMT_Westerdykella_P71,Westerdykella sp. P71,P71,PRJNA692473,2803914,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella sp. P71,F89A20D3
GCA_051941545.1_KEW_Webr,Wetmoreana brouardii,LIQ189CABR,PRJNA991097,1696787,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Wetmoreana,Wetmoreana brouardii,F2E305F5
GCA_052059095.1_KEW_Wesp,Wetmoreana sp. 5 TL-2023,LIQ186CAVE,PRJNA991097,3058871,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Wetmoreana,Wetmoreana sp. 5 TL-2023,FC669368
GCA_022497155.1_Whamic1,Whalleya microplaca,YMJ 1829,PRJNA567569,110547,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Whalleya,Whalleya microplaca,F6C0B16E
GCA_001599155.1_JCM_1821_assembly_v001,Wickerhamia fluorescens,JCM 1821,PRJDB3556;PRJDB3613,45790,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Wickerhamia,Wickerhamia fluorescens,F28BBB82
GCA_030581455.1_ASM3058145v1,Wickerhamiella allomyrinae,CBS 13167,PRJNA736342,1480121,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella allomyrinae,F05E6DEA
GCA_022577715.1_ASM2257771v1,Wickerhamiella alocasiicola,PYCC 8427,PRJNA794368,487109,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella alocasiicola,FE38117F
GCA_030579635.1_ASM3057963v1,Wickerhamiella australiensis,NRRL Y-27360,PRJNA736342,75732,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella australiensis,F589C0BC
GCA_022577855.1_ASM2257785v1,Wickerhamiella azyma,PYCC 8333,PRJNA794368,5488,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella azyma,F1F6D674
GCA_030563245.1_ASM3056324v1,Wickerhamiella azymoides,CBS 10508T,PRJNA736342,406256,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella azymoides,F02D46F7
GCA_030561035.1_ASM3056103v1,Wickerhamiella bombiphila,NRRL Y-27640,PRJNA736342,260050,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella bombiphila,F6D3E403
GCA_030565285.1_ASM3056528v1,Wickerhamiella brachini,CBS 14176,PRJNA736342,2859419,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella brachini,F2A15648
GCA_030564425.1_ASM3056442v1,Wickerhamiella cacticola,NRRL Y-27362,PRJNA736342,75733,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella cacticola,F3B97217
GCA_022577725.1_ASM2257772v1,Wickerhamiella dianesei,PYCC 8330,PRJNA794368,2908285,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella dianesei,F17D7035
GCA_056776945.1_ASM5677694v1,Wickerhamiella domercqiae,PYCC 3067,PRJNA1146746,45788,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella domercqiae,F6518A8D
GCA_030582755.1_ASM3058275v1,Wickerhamiella galacta,NRRL Y-17645,PRJNA736342,45553,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella galacta,F7833951
GCA_030572535.1_ASM3057253v1,Wickerhamiella hasegawae,JCM 12559,PRJNA736342,446224,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella hasegawae,F70E34C5
GCA_030574435.1_ASM3057443v1,Wickerhamiella infanticola,NRRL Y-17858,PRJNA736342,1116880,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella infanticola,FC3E1DBA
GCA_030555755.1_ASM3055575v1,Wickerhamiella kazuoi,JCM 12558,PRJNA736342,446223,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella kazuoi,F903F0CC
GCA_030572965.1_ASM3057296v1,Wickerhamiella kurtzmanii,CBS 15383,PRJNA736342,2174988,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella kurtzmanii,FFCE5B8D
GCA_030582055.1_ASM3058205v1,Wickerhamiella lipophila,NRRL Y-27367,PRJNA736342,378041,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella lipophila,F9CC089E
GCA_030558175.1_ASM3055817v1,Wickerhamiella musiphila,CBS 10697,PRJNA736342,487107,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella musiphila,F12A7C1A
GCA_022577815.1_ASM2257781v1,Wickerhamiella nectarea,PYCC 8436,PRJNA794368,1720237,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella nectarea,F8F4468F
GCA_030582035.1_ASM3058203v1,Wickerhamiella occidentalis,NRRL Y-27364,PRJNA736342,75734,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella occidentalis,FE36C32E
GCA_023628975.1_ASM2362897v1,Wickerhamiella pararugosa,PX1910,PRJNA833221,49331,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella pararugosa,FC671233
GCA_030562575.1_ASM3056257v1,Wickerhamiella parazyma,NRRL Y-48669T,PRJNA736342,926563,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella parazyma,FDFF6605
GCA_030556915.1_ASM3055691v1,Wickerhamiella qilinensis,CBS 13929,PRJNA736342,2859418,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella qilinensis,F13414B1
GCA_030563925.1_ASM3056392v1,Wickerhamiella sergipiensis,CBS 9567,PRJNA736342,168316,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella sergipiensis,FCBCF402
GCA_030585105.1_ASM3058510v1,Wickerhamiella shivajii,CBS 15893,PRJNA736342,2546340,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella shivajii,FF81B0F8
GCA_030571815.1_ASM3057181v1,Wickerhamiella siamensis,CBS 13331,PRJNA736342,1571656,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella siamensis,F87FB11F
GCA_954870865.1_Wickerhamiella_slavikovae_PYCC8320,Wickerhamiella slavikovae,,PRJEB62807,579151,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella slavikovae,FF123101
GCF_002251995.1_ASM225199v2,Wickerhamiella sorbophila,DS02,PRJNA383455,45607,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella sorbophila,FD5E39CA
GCA_037041415.1_ASM3704141v1,Wickerhamiella sp. F6312,F6312,PRJNA833221,3092696,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella sp. F6312,FAEBE36B
GCA_049862255.1_ASM4986225v1,Wickerhamiella sp. JLY21-1,JLY21-1,PRJNA1240779,3411432,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella sp. JLY21-1,FAC152EA
GCA_037042115.1_ASM3704211v1,Wickerhamiella sp. P97-06A,P97-06A,PRJNA833221,3092723,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella sp. P97-06A,FA597273
GCA_037042455.1_ASM3704245v1,Wickerhamiella sp. S6620,S6620,PRJNA833221,3092742,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella sp. S6620,F4F336B6
GCA_022577695.1_ASM2257769v1,Wickerhamiella spandovensis,PYCC 8431,PRJNA794368,49335,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella spandovensis,FD445201
GCA_030582415.1_ASM3058241v1,Wickerhamiella vanderwaltii,NRRL Y-17671,PRJNA736342,49336,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella vanderwaltii,FD7A8A1D
GCA_056776975.1_ASM5677697v1,Wickerhamiella versatilis,PYCC 7102,PRJNA1146746,27304,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,F977E088
GCA_949709075.1_1493_Wickerhamomyces_alni,Wickerhamomyces alni,,PRJEB57332,1337057,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces alni,FC308649
GCA_009707815.1_ASM970781v1,Wickerhamomyces anomalus,LBCM1105,PRJNA521462,4927,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces anomalus,F45EE2CE
GCA_000147375.2_WaNRRLY366_v02,Wickerhamomyces anomalus NRRL Y-366,NRRL Y-366,PRJNA52059,885923,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces anomalus,F948C9EF
GCF_001661255.1_Wican1,Wickerhamomyces anomalus NRRL Y-366-8,NRRL Y-366-8,PRJNA60493,683960,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces anomalus,F2B84358
GCA_024271855.1_ASM2427185v1,Wickerhamomyces bisporus,VH7_F,PRJNA841440,36018,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bisporus,F14F0C6A
GCA_003707945.3_ASM370794v3,Wickerhamomyces bovis,NRRL YB-4184,PRJNA736342,53647,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces bovis,F0FDB237
GCA_003707015.3_ASM370701v3,Wickerhamomyces canadensis,NRRL Y-1888,PRJNA429441,1156965,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces canadensis,F3C3B196
GCA_030574595.1_ASM3057459v1,Wickerhamomyces chambardii,NRRL Y-2378,PRJNA736342,53603,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces chambardii,F82E1D3B
GCA_030566875.1_ASM3056687v1,Wickerhamomyces chaumierensis,CBS 8565,PRJNA736342,1041606,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces chaumierensis,F7323EFF
GCF_000313485.1_ASM31348v1,Wickerhamomyces ciferrii,NRRL Y-1031 F-60-10,PRJEB29,1041607,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces ciferrii,F983C1B1
GCA_054949465.1_ASM5494946v1,Wickerhamomyces edaphicus,TBRC-BCC18952,PRJNA1336412,640698,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces edaphicus,F96A9299
GCA_003706765.3_ASM370676v3,Wickerhamomyces hampshirensis,NRRL YB-4128,PRJNA736342,1041608,dikarya,Ascomycota,,Saccharomycetes,,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces hampshirensis,FCE851FF
